repo_name,total_issues,number_of_stars,descriptions,project_date,project_size,project_lang,last_updated,#_of_fork,#_open_issue,project_score,#_of_watcher,num_contributors,num_releases,Total Versions,Total Contributors,len_contributors_url,len_subscribers_url,len_git_commits_url,len_comments_url,len_issue_comment_url,len_downloads_url,N_issues
chrisdev/wagtail-cookiecutter-foundation,691,164,A Cookiecutter template for Wagtail CMS using Zurb Foundation 6,2015-04-13T13:36:50Z,23328,Python,2023-08-08T23:50:32Z,42,30,1,164,2,2,4,12,82,81,87,87,94,79,691
cjolowicz/cookiecutter-hypermodern-python,1214,1533,Hypermodern Python Cookiecutter,2020-02-07T12:08:01Z,4397,Python,2023-10-23T20:55:14Z,239,89,1,1533,2,2,23,17,83,82,88,88,95,80,1214
conda/cookiecutter-conda-python,32,98,A cookiecutter template for conda packages using Python,2017-05-17T18:19:18Z,90,Python,2023-09-23T01:43:05Z,43,0,1,98,2,2,0,10,73,72,78,78,85,70,32
cookiecutter/cookiecutter,895,20468,"A cross-platform command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, C projects.",2013-07-14T18:31:22Z,3088,Python,2023-10-24T00:24:05Z,1936,223,1,20468,2,2,40,268,67,66,72,72,79,64,895
cookiecutter/cookiecutter-django,3020,10947,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.,2013-08-14T17:43:31Z,8218,Python,2023-10-23T21:51:11Z,2724,93,1,10947,2,2,364,353,74,73,79,79,86,71,3020
cookiecutter-flask/cookiecutter-flask,1348,4440,"A flask template with Bootstrap, asset bundling+minification with webpack, starter templates, and registration/authentication. For use with cookiecutter.",2013-08-16T07:27:55Z,3207,Python,2023-10-23T11:05:18Z,753,3,1,4440,2,2,21,62,79,78,84,84,91,76,1348
cookiejar/cookietemple,1073,147,A collection of best practice cookiecutter templates for all domains and languages with extensive Github support ⛺,2019-08-14T20:26:27Z,23621,Python,2023-09-18T16:33:51Z,8,34,1,147,2,2,21,10,64,63,69,69,76,61,1073
copier-org/copier,1194,1305,Library and command-line utility for rendering projects templates.,2011-11-01T19:22:44Z,3405,Python,2023-10-23T12:11:34Z,138,57,1,1305,2,2,62,63,59,58,64,64,71,56,1194
crmne/cookiecutter-modern-datascience,11,158,Start a data science project with modern tools,2020-07-06T12:46:30Z,102,Python,2023-10-09T05:07:21Z,34,5,1,158,2,2,0,2,79,78,84,84,91,76,11
cruft/cruft,268,1003,"Allows you to maintain all the necessary cruft for packaging and building projects separate from the code you intentionally write. Built on-top of, and fully compatible with, CookieCutter.",2019-09-22T05:07:07Z,1298,Python,2023-10-23T16:49:42Z,77,71,1,1003,2,2,19,36,53,52,58,58,65,50,268
docker-science/cookiecutter-docker-science,27,333,Cookiecutter template for data scientists working with Docker containers,2017-12-18T09:32:59Z,126,Makefile,2023-09-03T14:21:13Z,83,14,1,333,2,2,0,7,84,83,89,89,96,81,27
drivendata/cookiecutter-data-science,171,7042,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.",2015-10-30T19:19:57Z,772,Python,2023-10-23T20:16:18Z,2241,53,1,7042,2,2,1,40,78,77,83,83,90,75,171
ernestofgonzalez/djangorocket,42,93,A Django SaaS boilerplate,2023-01-04T16:41:58Z,282,Python,2023-10-16T21:00:50Z,8,2,1,93,2,2,7,1,71,70,76,76,83,68,42
executablebooks/cookiecutter-jupyter-book,39,123,Cookiecutter template for a simple jupyter book,2020-07-03T21:27:47Z,8083,TeX,2023-10-15T17:38:45Z,43,5,1,123,2,2,8,7,83,82,88,88,95,80,39
fedejaure/cookiecutter-modern-pypackage,505,111,Cookiecutter template for a modern Python package.,2020-05-16T13:21:52Z,1013,Python,2023-10-01T12:31:06Z,18,22,1,111,2,2,23,3,81,80,86,86,93,78,505
feldroy/django-crash-starter,247,93,The Cookiecutter template for the Django Crash Course tutorial by Daniel and Audrey Feldroy.,2020-01-29T02:20:50Z,4940,Python,2023-07-02T23:24:53Z,39,31,1,93,2,2,1,243,70,69,75,75,82,67,247
fpgmaas/cookiecutter-poetry,97,234,A modern cookiecutter template for Python projects that use Poetry for dependency management,2022-04-08T07:27:49Z,748,Python,2023-10-23T09:40:34Z,34,7,1,234,2,2,45,5,69,68,74,74,81,66,97
Frojd/Wagtail-Pipit,1773,203,Pipit is a Wagtail CMS boilerplate which aims to provide an easy and modern developer workflow with a React-rendered frontend.,2015-02-20T10:36:26Z,10460,Python,2023-10-21T22:04:08Z,26,29,1,203,2,2,64,7,61,60,66,66,73,58,1773
Fueled/django-init,103,183,Project template used at Fueled for scaffolding new Django based projects. :dizzy:,2014-03-03T15:19:26Z,2055,Python,2023-10-14T13:37:02Z,49,20,1,183,2,2,5,28,60,59,65,65,72,57,103
gaganpreet/fastapi-starter,777,346,"A FastAPI based low code starter/boilerplate: SQLAlchemy 2.0 (async), Postgres, React-Admin, pytest and cypress",2021-08-19T20:59:42Z,2778,TypeScript,2023-10-21T18:58:37Z,36,20,1,346,2,2,0,8,68,67,73,73,80,65,777
goldhand/cookiecutter-webpack,1,93,"Boilerplate for webpack 2, babel, react + redux + hmr, and karma. Can be inserted into existing django projects.",2016-03-22T16:33:43Z,75,JavaScript,2023-04-05T07:04:21Z,16,8,1,93,2,2,2,3,71,70,76,76,83,68,1
grantmcconnaughey/cookiecutter-django-vue-graphql-aws,18,268,"A highly opinionated Cookiecutter template that fuses together Django, Vue.js, GraphQL, and AWS into one full-stack web application.",2020-04-12T03:09:47Z,469,Python,2023-10-14T13:36:48Z,46,6,1,268,2,2,0,4,95,94,100,100,107,92,18
grok-ai/nn-template,96,585,Generic template to bootstrap your PyTorch project.,2021-02-25T00:30:56Z,2808,Python,2023-10-23T05:12:54Z,56,1,1,585,2,2,8,8,61,60,66,66,73,58,96
hackebrot/poyo,8,135,A lightweight YAML Parser for Python. 🐓,2015-12-27T15:18:14Z,105,Python,2023-08-14T09:31:11Z,24,8,1,135,2,2,7,7,56,55,61,61,68,53,8
hackebrot/pytest-cookies,32,160,The pytest plugin for your Cookiecutter templates. 🍪,2015-10-08T23:00:08Z,162,Python,2023-09-23T17:12:01Z,28,7,1,160,2,2,9,12,66,65,71,71,78,63,32
iknite/cookiecutter-ansible-role,1,87,Cookie cutter recipe to easily create ansible roles.,2014-06-12T08:48:32Z,12,Python,2023-08-18T11:03:21Z,31,3,1,87,2,2,0,5,74,73,79,79,86,71,1
ionelmc/cookiecutter-pylibrary,91,1172,Enhanced cookiecutter template for Python libraries.,2014-05-28T14:14:29Z,1199,Python,2023-10-23T11:06:56Z,207,10,1,1172,2,2,21,42,72,71,77,77,84,69,91
ionelmc/python-nameless,1,142,Sample project. Use https://github.com/ionelmc/cookiecutter-pylibrary to make your own project. The purpose of this repo is to test the CI configuration.,2014-05-30T17:40:09Z,344,Python,2023-10-09T22:05:05Z,32,0,1,142,2,2,5,1,65,64,70,70,77,62,1
